"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","30-JUN-25","28-JUN-25","16:35:00Z","CAPRON","ILLINOIS","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, CAPRON, IL.","ACCIDENT","GREATER CHICAGO FSDO","N847CS","","","VANS","RV10","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","24-JUN-25","19-JUN-25","14:40:00Z","HURON","SOUTH DAKOTA","UNITED STATES","AIRCRAFT CRASHED IN A FIELD, HURON, SD.","ACCIDENT","RAPID CITY FSDO","N6174A","","","PIPER","PA36","No","DESTROYED","AERIAL APPLICATION","MANEUVERING (MNV)","137","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-JUN-25","23-JUN-25","13:51:00Z","SWANZEY","NEW HAMPSHIRE","UNITED STATES","AIRCRAFT CRASHED FOR UNKNOWN REASONS, SWANZEY, NH.","INCIDENT","PORTLAND ME FSDO","N62XF","","","GYRO TECHNIC","GT-VX2","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-JUN-25","20-JUN-25","06:00:00Z","BURBANK","CALIFORNIA","UNITED STATES","AIRCRAFT ABORTED TAKEOFF DUE TO A BAGGAGE FIRE AND FIRE WAS EXTINGUISHED, BURBANK, CA.","INCIDENT","VAN NUYS FSDO","N149WW","","","CESSNA","525","No","MINOR","AMBULANCE","TAKEOFF (TOF)","135","NONE","No","2","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","30-JUN-25","21-JUN-25","22:00:00Z","MIDLOTHIAN","TEXAS","UNITED STATES","AIRCRAFT LANDED HARD DAMAGING NOSE AND MAIN GEARS, MIDLOTHIAN, TX.","ACCIDENT","NORTH TEXAS FSDO","N852BG","","","BURKHART GROB","G-103A TWIN II ACRO","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-JUN-25","29-JUN-25","19:30:00Z","NEPHI","UTAH","UNITED STATES","AIRCRAFT ON LANDING AND NOSE GEAR BROKE OFF, NEPHI, UT.","ACCIDENT","SALT LAKE CITY FSDO","N3608U","","","CESSNA","182","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-JUN-25","28-JUN-25","21:20:00Z","TRACY","CALIFORNIA","UNITED STATES","AIRCRAFT ON A SOFT-FIELD TAKEOFF, BANKED HARD TO THE LEFT AS IT BECAME AIRBORNE AND CRASHED ON THE RUNWAY, TRACY, CA.","ACCIDENT","OAKLAND FSDO","N6744F","","","CESSNA","150","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-JUN-25","29-JUN-25","01:25:00Z","PICNIC HARBOR","ALASKA","UNITED STATES","AIRCRAFT LANDING ON THE BEACH AND FLIPPED OVER, PICNIC HARBOR, AK.","ACCIDENT","ANCHORAGE FSDO","N8085L","","","CESSNA","172","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"No","30-JUN-25","29-JUN-25","14:10:00Z","EUSTIS","FLORIDA","UNITED STATES","AIRCRAFT STRUCK TREES ON DEPARTURE AND CRASHED INTO A POND, EUSTIS, FL.","ACCIDENT","ORLANDO FSDO","N9420Y","","","BEECH","95-B55","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","24-JUN-25","23-JUN-25","13:42:00Z","MONTROSE","COLORADO","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AFTER TAKEOFF AND POST CRASH FIRE, MONTROSE, CO.","ACCIDENT","SALT LAKE CITY FSDO","N250MK","","","EXPERIMEN TAL","BEARHAWK BEAR","No","UNKNOWN","PERSONAL","INITIAL CLIMB (ICL)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","24-JUN-25","23-JUN-25","19:17:00Z","MORGAN HILL","CALIFORNIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED IN A FIELD, MORGAN HILL, CA.","ACCIDENT","SAN JOSE FSDO","N696WG","","","VANS","RV9","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-JUN-25","23-JUN-25","14:35:00Z","MILTON","FLORIDA","UNITED STATES","AIRCRAFT LOST POWER ON TAKEOFF AND CRASHED PAST THE DEPARTURE END OF THE RUNWAY, MILTON, FL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N262AL","","","CESSNA","R182","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","25-JUN-25","24-JUN-25","12:15:00Z","PIERRE","SOUTH DAKOTA","UNITED STATES","AIRCRAFT STRUCK POWER LINE AND CRASHED IN A FIELD, PIERRE, SD.","ACCIDENT","RAPID CITY FSDO","N107ML","","","AIR TRACTOR","AT402","No","SUBSTANTIAL","AERIAL APPLICATION","MANEUVERING (MNV)","137","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","25-JUN-25","24-JUN-25","20:41:00Z","PENDLETON","OREGON","UNITED STATES","AIRCRAFT ENCOUNTERED CROSSWIND ON LANDING, BOUNCED AND VEERED OFF RUNWAY, PENDLETON, OR.","ACCIDENT","PORTLAND FSDO","N2051U","","","MAULE","M4","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
