"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","05-JUN-26","04-JUN-26","18:23:00Z","BURLINGTON","VERMONT","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES WHILE PRACTICING AUTO-ROTATION AND RETURNED TO AIRPORT.  POST FLIGHT INSPECTION REVEALED DAMGE TO ROTOR BLADE, BURLINGTON, VT.","INCIDENT","PORTLAND ME FSDO","N371PA","","","HELICOPTERS GUIMBAL","CABRI G2","No","UNKNOWN","INSTRUCTION","MANEUVERING (MNV)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","05-JUN-26","04-JUN-26","14:20:00Z","DANBURY","CONNECTICUT","UNITED STATES","AIRCRAFT ATTEMPTING TO DEPART, LOST LIFT AND WENT OFF THE END OF THE RUNWAY AND THROUGH A FENCE, DANBURY, CT.","INCIDENT","BRADLEY FSDO","N726EA","","","HAWKER BEECHCRAFT","G36","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","05-JUN-26","04-JUN-26","16:20:00Z","PINE MOUNTAIN","GEORGIA","UNITED STATES","AIRCRAFT VEERED OFF RUNWAY WHILE SIMULATING AN ABORTED TAKEOFF AND STRUCK A RUNWAY LIGHT, PINE MOUNTAIN, GA.","INCIDENT","ATLANTA FSDO","N787AU","","AUBURN UNIVERSITY","PIPER","PA44","No","MINOR","FAR 141 PILOT SCHOOL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","05-JUN-26","04-JUN-26","17:36:00Z","AUSTIN","TEXAS","UNITED STATES","AIRCRAFT RETURNED TO AIRPORT DUE TO AN ENGINE ISSUE AND POST FLIGHT INSPECTION REVEALED METAL DEBRIS AND DAMAGE TO THE RIGHT ENGINE, AUSTIN, TX.","INCIDENT","SAN ANTONIO FSDO","N7855A","SWA375","SOUTHWEST AIRLINES","BOEING","737","No","UNKNOWN","COMMERCIAL","TAKEOFF (TOF)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-MAY-26","28-MAY-26","23:05:00Z","BROCKPORT","NEW YORK","UNITED STATES","AIRCRAFT PROPELLER DETACHED AND DIVERTED TO NEAREST AIRPORT, BROCKPORT, NY.","ACCIDENT","ROCHESTER FSDO","N225RA","","","CESSNA","172","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-MAY-26","23-MAY-26","23:25:00Z","EPHRATA","WASHINGTON","UNITED STATES","AIRCRAFT WAS RELEASED AND PILOT HEARD A CRACKING SOUND, LANDED AND POST FLIGHT INSPECTION REVEALED DAMAGE TO BOTH WINGS, PHRATA, WA.","ACCIDENT","SPOKANE FSDO","N157AJ","","","PZL-SWIDNIK","PW-5","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-MAY-26","28-MAY-26","13:37:00Z","CHICAGO","ILLINOIS","UNITED STATES","AIRCRAFT DEPARTED, DECLARED AN EMERGENCY AND DIVERTED TO ORD AND POST FLIGHT INSPECTION REVEALED THE BATTERY DOOR HAD SEPARATED, CHICAGO, IL.","INCIDENT","GREATER CHICAGO FSDO","N256LG","JTL256","JET LINX","EMBRAER","EMB-505","No","MINOR","ON DEMAND","TAKEOFF (TOF)","135","NONE","No","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-MAY-26","28-MAY-26","19:46:00Z","HOUSTON","TEXAS","UNITED STATES","AIRCRAFT LOST CONTROL AND DRIFTED OFF RUNWAY AFTER LANDING AND RIGHT MAIN GEAR DETACHED, HOUSTON, TX.","INCIDENT","HOUSTON FSDO","N416HP","","","PIPER","PA28","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-MAY-26","28-MAY-26","23:20:00Z","GAINESVILLE","TEXAS","UNITED STATES","AIRCRAFT NOSE WHEEL COLLAPSED ON LANDING, GAINESVILLE, TX.","INCIDENT","NORTH TEXAS FSDO","N467AA","","","COSTRUZIONI AERONAUTICHE","P2010","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-MAY-26","28-MAY-26","21:02:00Z","KAISER","MISSOURI","UNITED STATES","AIRCRAFT STRUCK A BIRD ON TAKEOFF AND POST FLIGHT INSPECTION REVEALED DAMAGE TO LEADING EDGE OF LEFT WING, KAISER, MO.","INCIDENT","KANSAS CITY FSDO","N865M","","","EMBRAER","EMB-545","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
